,MCS UL,WB CQI_bins
708,10.5,12
709,10.5,12
710,22.5,12
711,21.0,12
712,10.0,12
713,14.666666666666666,12
714,10.0,12
715,15.666666666666666,12
716,15.666666666666666,12
717,11.0,12
718,11.0,12
719,10.5,12
720,10.5,12
721,14.333333333333334,12
722,16.0,12
723,10.5,12
724,10.5,12
725,15.333333333333334,12
726,11.0,12
727,11.0,12
728,21.0,12
729,10.5,12
730,22.0,12
731,11.0,12
732,9.333333333333334,12
733,11.0,12
734,24.5,12
735,15.666666666666666,12
736,11.5,12
737,0.0,12
738,4.6,12
739,5.75,12
740,11.0,12
741,11.0,12
742,13.5,12
743,15.75,12
744,8.0,12
745,11.5,12
746,19.875,12
747,23.2,12
748,14.0,12
749,14.666666666666666,12
750,23.0,12
751,16.75,12
752,11.0,12
753,15.612903225806452,12
754,22.33333333333333,12
755,11.5,12
756,24.0,12
757,12.0,12
758,24.0,12
759,23.0,12
760,21.0,12
761,24.0,12
762,23.0,12
763,24.33333333333333,12
764,24.33333333333333,12
